Doctor Who season,doctor actor,ep. no,episode title,from ,estimated from,to,estimated?,planet,sub location,location,notes,source,,,,,,,
2,Troughton,41,The Web Of Fear,1970,1930,1970,y,Earth,UK,London,"early 1970s (same time, no trips)
40 years after Abominable Snowmen","http://tardis.wikia.com/wiki/The_Web_of_Fear
http://en.wikipedia.org/wiki/Chronology_of_the_Doctor_Who_universe",,,,,,,
2,Troughton,46,The Invasion,2000,,1970,y,Earth,UK,Just outside London,21st century - 1070s,http://tardis.wikia.com/wiki/The_Invasion,,,,,,,
11,Smith,2,Day of the Moon,1969,,1970,,Earth,USA,Utah to Cape Kennedy,,,,,,,,,
3,Pertwee,59,The Daemons,1971,2472,1971,y,Earth,England,"Devil's End, Wiltshire",,http://tardis.wikia.com/wiki/Season_8,,,,,,,
3,Pertwee,64,The Time Monster,-2000,,1972,,Earth/ Atlantis,,,,http://tardis.wikia.com/wiki/Krasis,,,,,,,
3,Pertwee,69,The Green Death,2540,,1973,y,Earth,UK,"Llanfairfach, Wales",,http://tardis.wikia.com/wiki/The_Green_Death,,,,,,,
3,Pertwee,71,Invasion of The Dinosaurs,1200,,1974,y,Earth,UK,London,,http://tardis.wikia.com/wiki/Invasion_of_the_Dinosaurs,,,,,,,
4,Baker,94,Image of the Fendahl,1977,5000,1977,,Earth,England,Fetch Priory,,Doctor Who Wikia,,,,,,,
4,Baker,105,City of Death,-4000000000000,,1979,,Earth,France; Italy,Paris; Italy,Wikia notes multiple jumps -- 1979; 1505; 1979; 4 billion BC; 1979,Doctor Who Wikia,,,,,,,
4,Baker,unaired,Shada,1979,2116,1979,,Earth,England,Cambridge,,Doctor Who Wikia,,,,,,,
4,Baker,83,The Android Invasion,1980,1911,1980,,Planet: Oseidon; also village of Devesham,England,,,"Doctor Who wikia, tardis.wikia.com/wiki/The_Android_invasion",,,,,,,
4,Baker,87,The Hand of Fear,1980,1492,1980,y,Earth,England,Planet: Kastria; ,,Doctor Who Wikia,,,,,,,
5,Davison,116,Castrovalva,-13700000000,,1981,,????,,City of Castrovalva,,,,,,,,,
5,Davison,122,Time-Flight,-140000000,,1982,,Earth,England,Heathrow,,,,,,,,,
5,Davison,128,The King's Demons,1214,,1982,,earth,,England,,,,,,,,,
